
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. ZDragonFly, 170, 140, 102, 0, 0, 0, 0, 3, 6
.	. PF_CCC_C0, 75, 45, 16, 0, 0, 0, 0, 1, 0
.	.	. PF_CCC_C0_PF_CCC_C0_0_PF_CCC, 75, 45, 16, 0, 0, 0, 0, 1, 0
.	.	.	. PF_CCC_C0_PF_CCC_C0_0_PLL_EXT_FEEDBACK_MODE_RTL_32000_32000_0s_1s_2s_3s_4s_5s_6s, 75, 45, 16, 0, 0, 0, 0, 0, 0
.	. PF_OSC_C0, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. PF_OSC_C0_PF_OSC_C0_0_PF_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. ZLED_Indicator_0, 33, 31, 32, 0, 0, 0, 0, 0, 0
.	. ZLED_Indicator_1, 33, 31, 32, 0, 0, 0, 0, 0, 0
.	. ZLED_Reactor, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	. ZSwitch_Module, 28, 33, 22, 0, 0, 0, 0, 0, 0
.	.	. ZSwitch_Detector_0, 28, 33, 22, 0, 0, 0, 0, 0, 0
