@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF667 |Clock conversion disabled. (Command "set_option -fix_gated_and_generated_clocks 0" in the project file.)
@N: MF539 :"f:\mytemporary\github\pfsoc\zdragonfly\component\work\pf_ccc_c0\pf_ccc_c0_0\pll_ext_feedback_mode_soft_logic.v":40:0:40:5|Local TMR implemented on sequential instance state[6] (in view: work.PF_CCC_C0_PF_CCC_C0_0_PLL_EXT_FEEDBACK_MODE_RTL_32000_32000_0s_1s_2s_3s_4s_5s_6s(verilog))
@N: MF539 :"f:\mytemporary\github\pfsoc\zdragonfly\component\work\pf_ccc_c0\pf_ccc_c0_0\pll_ext_feedback_mode_soft_logic.v":40:0:40:5|Local TMR implemented on sequential instance state[5] (in view: work.PF_CCC_C0_PF_CCC_C0_0_PLL_EXT_FEEDBACK_MODE_RTL_32000_32000_0s_1s_2s_3s_4s_5s_6s(verilog))
@N: MF539 :"f:\mytemporary\github\pfsoc\zdragonfly\component\work\pf_ccc_c0\pf_ccc_c0_0\pll_ext_feedback_mode_soft_logic.v":40:0:40:5|Local TMR implemented on sequential instance state[4] (in view: work.PF_CCC_C0_PF_CCC_C0_0_PLL_EXT_FEEDBACK_MODE_RTL_32000_32000_0s_1s_2s_3s_4s_5s_6s(verilog))
@N: MF539 :"f:\mytemporary\github\pfsoc\zdragonfly\component\work\pf_ccc_c0\pf_ccc_c0_0\pll_ext_feedback_mode_soft_logic.v":40:0:40:5|Local TMR implemented on sequential instance state[3] (in view: work.PF_CCC_C0_PF_CCC_C0_0_PLL_EXT_FEEDBACK_MODE_RTL_32000_32000_0s_1s_2s_3s_4s_5s_6s(verilog))
@N: MF539 :"f:\mytemporary\github\pfsoc\zdragonfly\component\work\pf_ccc_c0\pf_ccc_c0_0\pll_ext_feedback_mode_soft_logic.v":40:0:40:5|Local TMR implemented on sequential instance state[2] (in view: work.PF_CCC_C0_PF_CCC_C0_0_PLL_EXT_FEEDBACK_MODE_RTL_32000_32000_0s_1s_2s_3s_4s_5s_6s(verilog))
@N: MF539 :"f:\mytemporary\github\pfsoc\zdragonfly\component\work\pf_ccc_c0\pf_ccc_c0_0\pll_ext_feedback_mode_soft_logic.v":40:0:40:5|Local TMR implemented on sequential instance state[1] (in view: work.PF_CCC_C0_PF_CCC_C0_0_PLL_EXT_FEEDBACK_MODE_RTL_32000_32000_0s_1s_2s_3s_4s_5s_6s(verilog))
@N: MF539 :"f:\mytemporary\github\pfsoc\zdragonfly\component\work\pf_ccc_c0\pf_ccc_c0_0\pll_ext_feedback_mode_soft_logic.v":40:0:40:5|Local TMR implemented on sequential instance state[0] (in view: work.PF_CCC_C0_PF_CCC_C0_0_PLL_EXT_FEEDBACK_MODE_RTL_32000_32000_0s_1s_2s_3s_4s_5s_6s(verilog))
@N: MF539 :"f:\mytemporary\github\pfsoc\zdragonfly\component\work\pf_ccc_c0\pf_ccc_c0_0\pll_ext_feedback_mode_soft_logic.v":102:0:102:5|Local TMR implemented on sequential instance clk_cycle_count[5] (in view: work.PF_CCC_C0_PF_CCC_C0_0_PLL_EXT_FEEDBACK_MODE_RTL_32000_32000_0s_1s_2s_3s_4s_5s_6s(verilog))
